employee_id,first_name,last_name,email,password,job_title,department,salary,hire_date,phone_number
e954fd46-fdd7-4680-b895-10982abf0996,Denise,Montgomery,denise.montgomery@hicks.com,_M!GZsOi*677,"Conservation officer, historic buildings",Sales,49954,2023-12-15,289.778.9834
74ab396b-3c51-4f92-9e2b-c5975046d933,Thomas,Reyes,thomas.reyes@johnston.info,9cYnG8IiBPD^,Hospital doctor,IT,49781,2020-08-28,933.866.5217x29820
14d5477e-2dbc-4d4f-ad7d-56c170d5e55d,Austin,Lynn,austin.lynn@johnson.com,WiqFe*xcv)4H,Public house manager,Human Resources,86374,2023-05-08,557-404-5228x623
4ec5b182-ae91-499f-a801-eb18d5e74396,Allison,Carlson,allison.carlson@ferguson.info,60osc3b@(0zT,"Teacher, secondary school",Human Resources,31200,2025-03-23,(790)432-6679
49d45e5c-408e-450c-98c7-8f22b602910d,Jermaine,Vasquez,jermaine.vasquez@dunlap-cain.com,@YAh7jzcG1zO,Clinical embryologist,Marketing,57376,2023-11-26,362-996-4776
80172161-269a-49ec-b0c7-fefa5585b605,Haley,Miller,haley.miller@burgess.biz,W@6bR%l&IMXd,Financial adviser,Finance,44048,2022-10-17,421-229-7932
2c9262cd-1936-4a90-9136-0abcf509f99d,David,Robinson,david.robinson@elliott.com,!2oMqd19Zq)p,Contractor,Finance,117420,2024-07-06,001-839-342-9718x27250
0ef8ee16-a6d6-460c-a07f-9e6242d210d6,Joseph,Harris,joseph.harris@wiggins-gonzales.com,k_zrXgKo@(A5,Insurance account manager,IT,99153,2021-09-08,553.309.3619x888
d728cccc-a04c-47e5-9242-091120e2ceff,Alicia,Walton,alicia.walton@henry.com,J(Gv3zUHoo%p,Environmental manager,Marketing,124122,2021-06-12,(460)310-4247
76b4783d-9f6f-49ea-b25c-7ee180585f3e,Michelle,Porter,michelle.porter@boyd-riley.info,rS4bvD3r*jIc,"Buyer, retail",Sales,88818,2022-08-09,001-336-681-8776x462
ba3feb49-5211-4838-bfc4-7602630e081c,Shelly,Fox,shelly.fox@perez.biz,D5z30&RyWC*a,Diplomatic Services operational officer,Finance,53743,2022-04-13,5118773813
269c47c8-e16d-4875-a714-49804376c753,Julia,Grimes,julia.grimes@haas.com,n&7TLR+n9I4),"Engineer, broadcasting (operations)",Human Resources,124272,2024-06-14,+1-813-730-8641x4719
474dbe54-21be-40dc-9b5f-18f4324d81fe,Frank,Higgins,frank.higgins@lewis.biz,)X4NR4ks#+vJ,Warden/ranger,Engineering,114559,2021-08-30,733.629.7828
a6bb3784-9303-488d-9b71-f2f4baf0b3cf,Dylan,Ramsey,dylan.ramsey@baker-green.com,_Dh7bFhT($n&,Product designer,Engineering,148618,2021-08-22,383-733-9339x634
7a03abf5-e6f5-4093-9e4f-703c87811107,Benjamin,Robinson,benjamin.robinson@murphy-torres.com,US##M6NmWXj_,IT sales professional,Marketing,97727,2025-05-18,534-539-3530
f9db382c-b7df-4997-870d-ea7e1ddfccfe,Nicole,Gomez,nicole.gomez@perez.com,zlup+3Fh+@BA,Jewellery designer,Finance,61688,2023-01-09,(967)441-9381x7658
d4ae819e-b5a5-47ed-9eea-b9285b97a7d3,Harold,Edwards,harold.edwards@tran.com,F1lWt&qh@ZvZ,Herbalist,Sales,116204,2022-07-12,+1-971-524-9445x89901
32395154-c858-4352-8413-3f4843cae91e,Michael,Young,michael.young@gallagher-west.com,lTW_LrTq*rb1,Animal nutritionist,Engineering,42221,2022-04-27,777-465-5308x7161
49a1700a-e1f7-43d3-a90c-28e495ecd822,Carolyn,Wiley,carolyn.wiley@maynard.info,C6mBZqfg$h!k,Office manager,IT,145567,2025-04-16,(576)500-6386x881
3eee69b9-abd9-495e-bf93-0829163b16ea,Jamie,Bowen,jamie.bowen@williams.org,+B1yGllciXZa,Race relations officer,Sales,113598,2020-12-28,001-281-729-0096x8102
4b8c5f28-f585-496a-b1ff-9c9f99d902ee,Christina,Hernandez,christina.hernandez@gonzalez-king.info,LLy_Mxae^!^6,Interpreter,Sales,108756,2022-02-05,981.318.0308x80497
1d8232ca-1622-4009-9ea5-32a0de2011da,Scott,Harris,scott.harris@morgan.com,80lxKHqN_#Lr,"Therapist, horticultural",Human Resources,118847,2021-04-13,7035140728
e57d68aa-c1ef-4efe-b2fd-0239770fabc8,Joseph,Boone,joseph.boone@miranda.info,#72x@wsoCWKN,"Engineer, broadcasting (operations)",Finance,45788,2023-04-07,001-794-710-0448x7599
6dbea9b5-a562-44e1-bef9-ae5c425696cb,Michael,Garcia,michael.garcia@rivera-obrien.com,!3jbxl0W)&MI,"Scientist, research (maths)",Marketing,43299,2022-09-07,+1-330-660-9344x2660
3b5217c6-339e-4ed8-911f-bf2c652088a1,Samantha,Mcfarland,samantha.mcfarland@mitchell.com,Vg2&DLTnk%Sp,"Designer, fashion/clothing",Marketing,63588,2022-05-19,373.757.5306
933aea71-f716-4084-8ccf-21870ea154ad,Renee,Brennan,renee.brennan@knox.org,!TEXf1Ya9w05,Software engineer,Finance,98145,2022-05-09,220-515-7158
c58ef177-a158-446c-bdb6-a61e12f003ba,Linda,Harvey,linda.harvey@malone-higgins.com,^w5CycY7%rT!,Architect,Human Resources,114308,2020-10-19,(824)611-7607x27295
428f894b-12b4-4424-8a15-fea1d76828ba,Elizabeth,Thomas,elizabeth.thomas@montgomery.net,l%HT1z^l+7P+,"Pharmacist, hospital",Engineering,128080,2022-11-09,389.646.0699x6668
4ac07048-e280-43fc-9927-f54b7c880c0c,Bryan,Acosta,bryan.acosta@short-bolton.biz,#8UTaih7)llS,"Conservation officer, nature",Marketing,107791,2023-06-21,(503)291-0197
522bac00-cb17-4fb1-890d-ee5bf25947ec,Michael,York,michael.york@johnson-garcia.biz,1Qr$6rUw7j!!,Waste management officer,Engineering,121823,2024-05-14,3508232224
6c645ab4-f86a-403f-a4dc-7372d0ed1f88,Barbara,Gutierrez,barbara.gutierrez@flores.info,47BqcK3u$+D1,"Scientist, research (physical sciences)",Human Resources,113315,2021-03-27,001-502-256-1720x07915
58055188-5f57-4e2b-9a7d-863e3d3022be,Timothy,Johnson,timothy.johnson@small-conrad.com,U$@4Haob_F^H,Further education lecturer,Engineering,86331,2021-07-05,408.346.7185x444
066aa139-f591-475b-b874-abd6d428ce0f,Christine,Miller,christine.miller@hester-warren.com,54X%sDScvPki,Dance movement psychotherapist,Human Resources,45021,2023-07-02,(991)408-9434x45819
32443650-31aa-4856-b3bc-65c8926fdaa5,Gabriela,Torres,gabriela.torres@pruitt-spencer.net,uFJ(J8W@X9xJ,Legal secretary,Engineering,142033,2023-11-15,001-390-593-2805
d55cc97a-ec12-4d67-9a31-c843de79a621,Jenna,Rangel,jenna.rangel@wilson-white.com,ft5qR5jE(qD5,Microbiologist,IT,73158,2021-11-30,844.914.6877
a079382f-7208-4ba1-a93d-6f884e5a5269,Andrew,Valencia,andrew.valencia@shelton.com,jt4jRQop*7Nw,Educational psychologist,Marketing,143397,2025-08-11,751.680.0728x43473
7fc55ca6-2448-4281-ab38-22a41d36bd22,Keith,Lamb,keith.lamb@mccoy-brown.info,IAnIlgJd(92U,Textile designer,Finance,61612,2023-02-15,935.642.6740
5636e687-8a4f-4f0e-9a69-4673ffab3a3f,Laura,Richardson,laura.richardson@khan.com,Z9eSl&*p+rs9,Special effects artist,IT,80624,2020-12-18,6145529401
24f27223-a4c9-4aaa-8685-2de5b7c2919b,Deborah,Lawrence,deborah.lawrence@wu-dawson.com,%iK2eCn5_nNH,"Journalist, newspaper",Sales,57142,2023-08-15,001-904-437-3217x0321
82cc9163-2518-404a-be81-b40008ad1672,Grace,Villa,grace.villa@garcia.com,KkJW6dOA338@,"Nurse, adult",Marketing,115595,2023-02-07,001-566-795-8962x30413
